"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EMNT","EMXT","TAVG","TMAX","TMIN"
"USW00013873","ATHENS BEN EPPS AIRPORT, GA US","33.948","-83.3275","239.3","2002","16","100","62.4","72.9","51.8"
"USC00098064","SILOAM 3 N, GA US","33.5635","-83.0768","211.8","2002",,,,,
"USC00096043","MORGAN 5 NW, GA US","31.60611","-84.64528","83.2","2002",,,,,
"USC00099157","WASHINGTON, GA US","33.7264","-82.7059","189.0","2002","17","100","62.5","74.0","51.0"
"USC00098740","TOCCOA, GA US","34.5786","-83.3319","308.5","2002",,"100",,"73.3",
"USW00013837","AUGUSTA DANIEL FIELD AIRPORT, GA US","33.46694","-82.03861","128.9","2002","21","101","65.8","75.5","56.1"
"USC00092517","DANIELSVILLE, GA US","34.1175","-83.3044","237.7","2002","16","99","60.8","72.1","49.6"
"USR0000GCOH","COHUTTA NUMBER 1 GEORGIA, GA US","34.9225","-84.6594","525.5","2002","14","93","59.6","68.4","50.8"
"USC00091425","BUTLER, GA US","32.6524","-84.1858","135.9","2002",,,,,
"USC00095874","MILLEDGEVILLE, GA US","33.0831","-83.2498","112.2","2002","17","102","63.5","75.9","51.2"
"USC00097777","SANDERSVILLE, GA US","32.9745","-82.8045","137.5","2002","19","99","63.6","74.6","52.6"
"USC00091665","CARTERSVILLE, GA US","34.2043","-84.7925","240.5","2002","14","97","60.7","71.9","49.5"
"USC00094700","JONESBORO, GA US","33.5312","-84.3545","283.5","2002","18","98","62.2","73.2","51.3"
"USC00093325","FARGO 17 NE, GA US","30.8264","-82.3606","37.8","2002","21","101","68.3","80.4","56.2"
"USC00091266","BROOKLET 1 W, GA US","32.375","-81.6731","54.9","2002","19","103","66.6","78.3","54.9"
"USC00094429","HOMERVILLE 5 N, GA US","31.0767","-82.8003","57.0","2002",,,,,
"USW00053863","ATLANTA DEKALB PEACHTREE AIRPORT, GA US","33.875","-84.30222","305.3","2002","20","97","62.0","72.3","51.7"
"USC00095061","LEESBURG 2, GA US","31.7633","-84.1869","79.2","2002",,,,,
"USC00099141","WARRENTON, GA US","33.4029","-82.6222","149.4","2002","17","99","62.5","74.5","50.4"
"USC00097087","PLAINS SW GA EXPERIMENTAL STATION, GA US","32.0467","-84.3711","152.4","2002",,"100",,"77.5",
"USC00092408","CUMMING 2 N, GA US","34.2286","-84.1281","347.5","2002",,,,,
"USC00094133","HARTWELL, GA US","34.35178","-82.93013","245.4","2002","18","97","61.1","70.8","51.5"
"USC00099027","VIENNA, GA US","32.10833","-83.82889","103.0","2002",,,,,
"USC00097489","RINGGOLD, GA US","34.90028","-85.06667","234.7","2002",,,,,
"USR0000GARM","ARMUCHEE NUMBER 1 GEORGIA, GA US","34.6953","-85.1736","351.1","2002","12","96","60.7","69.7","51.7"
"USC00095863","MIDVILLE EXPERIMENTAL STATION, GA US","32.8753","-82.2156","85.3","2002",,,,,
"USC00092006","CLEVELAND, GA US","34.5859","-83.7658","477.6","2002","6","94","57.2","69.9","44.5"
"USC00093578","FORT GAINES 2, GA US","31.615","-85.0494","64.0","2002",,"98",,"76.8",
"USC00095988","MONTICELLO, GA US","33.3329","-83.6975","157.9","2002",,"99",,"74.2",
"USC00090586","BAINBRIDGE INTERNATIONAL PAPER, GA US","30.82278","-84.6175","57.9","2002",,,,,
"USC00097528","ROCKY FORD 4 SE, GA US","32.6328","-81.7756","45.7","2002",,"102",,"76.6",
"USC00091670","CARTERSVILLE NUMBER 2, GA US","34.1825","-84.7958","234.7","2002",,,,,
"USC00092485","DALLAS 7 NE, GA US","33.9982","-84.751","313.3","2002","13","98","60.9","72.6","49.2"
"USC00093695","GIBSON, GA US","33.2261","-82.5949","126.8","2002",,,,,
"USC00097808","SAPELO ISLAND, GA US","31.39806","-81.28077","3.0","2002","25","98","68.7","77.1","60.4"
"USC00092361","CRISP CO POWER DAM, GA US","31.8453","-83.9409","74.7","2002",,,,,
"USC00090181","ALLATOONA DAM 2, GA US","34.165","-84.73","297.2","2002",,,,,
"USC00093570","FRANKLIN, GA US","33.2759","-85.0992","240.8","2002",,,,,
"USW00053873","CARTERSVILLE AIRPORT, GA US","34.12306","-84.84861","232.6","2002","15","97","60.4","71.7","49.1"
"USW00003813","MACON MIDDLE GA REGIONAL AIRPORT, GA US","32.6847","-83.6527","104.5","2002","19","101","64.7","76.4","53.0"
"USC00098600","TAYLORSVILLE, GA US","34.086","-84.9827","219.8","2002",,,,,
"USC00092738","DONALSONVILLE, GA US","31.0286","-84.8911","45.7","2002",,,,,
"USC00096148","MULBERRY GROVE, GA US","32.6089","-85.0756","152.7","2002",,"98",,"76.2",
"USC00090311","APPLING 2 NW, GA US","33.55731","-82.33683","120.7","2002",,"101",,"74.5",
"USC00093147","EMBRY, GA US","33.8751","-85.0008","388.0","2002",,,,,
