"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EMNT","EMXT","TAVG","TMAX","TMIN"
"USR0000GSTE","STERLING GEORGIA, GA US","31.2569","-81.6106","2.1","2015","20","100","69.0","79.6","58.4"
"US1GACT0025","SAVANNAH 2.7 ENE, GA US","32.0427","-81.0904","5.5","2015",,,,,
"USW00003888","ATLANTA FULTON CO AIRPORT, GA US","33.77917","-84.52139","256.0","2015","10","96","63.3","73.5","53.0"
"USR0000GSTA","STAFFORD CUIS GEORGIA, GA US","30.9172","-81.4294","7.6","2015","22","101","69.4","79.0","59.8"
"US1GACF0003","PRIDGEN 1.5 NE, GA US","31.7155","-82.9378","94.2","2015",,,,,
"USC00094230","HELEN, GA US","34.6996","-83.7261","455.1","2015","5","92","58.5","69.4","47.7"
"USC00099486","WINTERVILLE, GA US","33.9664","-83.2911","271.3","2015","10","95","61.9","72.0","51.8"
"USR0000GBAX","BAXLEY GEORGIA, GA US","31.7136","-82.3878","33.2","2015","21","99","68.4","78.9","57.8"
"US1GAWL0007","LOGANVILLE 4.0 SSE, GA US","33.7917","-83.8719","278.3","2015",,,,,
"USR0000GBRE","BRENDER GEORGIA, GA US","33.0097","-83.7397","91.4","2015","11","101","64.7","76.7","52.7"
"US1GAHS0016","KATHLEEN 2.5 NW, GA US","32.5256","-83.6312","105.2","2015",,,,,
"US1GAWL0001","LOGANVILLE 4.5 SW, GA US","33.7981","-83.9583","285.9","2015",,,,,
"US1GAGW0017","DACULA 2.1 NNW, GA US","34.0148","-83.8968","296.0","2015",,,,,
"US1GACF0001","DOUGLAS 2.5 WSW, GA US","31.4912","-82.8908","71.0","2015",,,,,
"US1GAGW0016","LAWRENCEVILLE 4.2 SW, GA US","33.8996","-84.0349","303.9","2015",,,,,
"US1GAMI0003","DARIEN 4.2 NNE, GA US","31.4247","-81.3958","5.8","2015",,,,,
"USC00092180","COMMERCE 4 NNW, GA US","34.2625","-83.4895","249.9","2015","9","97","61.2","72.1","50.3"
"US1GAMI0005","TOWNSEND 5.5 SE, GA US","31.5723","-81.3606","0.9","2015",,,,,
"USC00091908","CHICKAMAUGA PARK LARC, GA US","34.9203","-85.2711","238.4","2015","6","98","60.3","72.1","48.5"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","33.35528","-84.56694","243.2","2015","11","98","63.2","74.2","52.2"
"US1GADG0004","CHAUNCEY 2.6 SW, GA US","32.0791","-83.0949","104.5","2015",,,,,
"USW00063856","BRUNSWICK 23 S, GA US","30.8078","-81.4596","7.6","2015","24","97","69.3","77.3","61.2"
"USR0000GBRA","BRASSTOWN NUMBER 1 GEORGIA, GA US","34.8028","-83.71","999.7","2015","-2","92","56.8","64.6","49.0"
"USC00091340","BRUNSWICK, GA US","31.1681","-81.5022","4.0","2015",,"100",,"78.5",
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","31.9455","-81.3002","2.1","2015",,,,,
"US1GACT0009","POOLER 0.8 NNE, GA US","32.1154","-81.2509","4.9","2015",,,,,
"US1GACT0001","POOLER 1.2 NNE, GA US","32.1219","-81.2531","7.3","2015",,,,,
"US1GACT0003","SAVANNAH 3.9 SSW, GA US","31.9689","-81.1463","3.7","2015",,,,,
"US1GAFY0007","FAYETTEVILLE 3.3 SSE, GA US","33.4031","-84.4342","274.3","2015",,,,,
"USC00099502","WOODBINE, GA US","30.9591","-81.7071","4.9","2015","23","99","69.0","79.4","58.7"
"USR0000GMET","METTER GEORGIA, GA US","32.3911","-82.0372","30.2","2015","19","101","67.9","78.6","57.3"
"USC00093538","FORT STEWART, GA US","31.86945","-81.62358","28.0","2015","20","99","69.7","79.8","59.7"
"USC00093658","GEORGETOWN 4 E, GA US","31.8966","-85.0375","149.4","2015",,,,,
"US1GACB0006","KENNESAW 5.6 SW, GA US","33.9566","-84.6717","318.2","2015",,,,,
"US1GACB0003","KENNESAW 3.1 SSW, GA US","33.9833","-84.6389","328.0","2015",,,,,
"US1GAPE0001","FORT VALLEY 0.7 ESE, GA US","32.5514","-83.8771","146.6","2015",,,,,
"US1GATH0004","THOMASVILLE 5.1 ESE, GA US","30.8176","-83.8965","84.1","2015",,,,,
"USC00090140","ALBANY 3 SE, GA US","31.5338","-84.1488","54.9","2015","18","99","67.2","77.8","56.5"
"USC00099194","WAYNESBORO 2 S, GA US","33.07129","-82.00728","84.4","2015","15","99","65.3","77.1","53.4"
"USR0000GPLA","PLAINS SUMTER GEORGIA, GA US","32.0097","-84.33","160.3","2015","15","100","67.1","77.6","56.7"
"US1GALB0004","MIDWAY 3.3 ENE, GA US","31.818","-81.3744","4.9","2015",,,,,
"USC00095492","MANOR, GA US","31.0833","-82.5652","46.9","2015",,,,,
"US1GACE0012","HOLLY SPRINGS 1.0 NNE, GA US","34.1851","-84.4896","350.5","2015",,,,,
"US1GAFR0001","CARNESVILLE 7.3 SW, GA US","34.2917","-83.3236","228.9","2015",,,,,
"US1GAOC0001","WATKINSVILLE 1.8 NNE, GA US","33.8844","-83.3914","203.0","2015",,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27194","-83.83028","388.6","2015","9","96","62.4","71.3","53.4"
"US1GACW0002","SHARPSBURG 6.0 N, GA US","33.4273","-84.6607","270.4","2015",,,,,
"US1GAOC0002","ATHENS 4.4 SSW, GA US","33.8999","-83.433","207.6","2015",,,,,
"US1GABD0001","MILLEDGEVILLE 6.5 SSE, GA US","32.9972","-83.1998","115.5","2015",,,,,
"US1GACW0009","NEWNAN 2.6 W, GA US","33.384","-84.8338","266.4","2015",,,,,
"US1GAOC0009","WATKINSVILLE 1.6 ENE, GA US","33.8701","-83.3823","201.2","2015",,,,,
"USC00090236","ALTO 4 SE, GA US","34.4416","-83.5161","279.8","2015","9","95","60.4","71.1","49.7"
"US1GACL0007","VILLA RICA 1.1 SSE, GA US","33.7189","-84.9121","350.8","2015",,,,,
"US1GAPL0003","CEDARTOWN 2.9 SE, GA US","33.9858","-85.2247","274.0","2015",,,,,
"US1GACL0006","CARROLLTON 3.2 SW, GA US","33.5551","-85.1203","322.2","2015",,,,,
"US1GACL0005","TEMPLE 0.7 E, GA US","33.7351","-85.0191","353.9","2015",,,,,
"US1GAUN0008","BLAIRSVILLE 8.5 WSW, GA US","34.8363","-84.0943","610.8","2015",,,,,
"US1GAJC0004","BRASELTON 3.0 NE, GA US","34.1332","-83.7522","249.9","2015",,,,,
"US1GAPL0005","CEDARTOWN 4.6 SSW, GA US","33.955","-85.284","256.3","2015",,,,,
"US1GAWT0003","SYLVESTER 5.5 WSW, GA US","31.4859","-83.9145","115.8","2015",,,,,
"USR0000GCAM","CAMP MERRILL GEORGIA, GA US","34.63","-84.0975","531.3","2015","4","94","60.4","69.5","51.2"
"US1GAOG0015","COLBERT 3.1 SSE, GA US","33.9995","-83.1847","217.6","2015",,,,,
"USR0000GJON","JONES ISLAND GEORGIA, GA US","30.8289","-82.36","34.7","2015","27","101","71.3","81.2","61.3"
"US1GACW0011","SENOIA 3.0 SW, GA US","33.2849","-84.5945","286.8","2015",,,,,
"US1GAOG0012","ARNOLDSVILLE 3.7 SSW, GA US","33.8601","-83.2418","195.1","2015",,,,,
"USW00093842","COLUMBUS METROPOLITAN AIRPORT, GA US","32.5161","-84.9422","119.5","2015","13","100","66.7","76.9","56.6"
"USC00093060","ELBERTON 2 N, GA US","34.1409","-82.8551","164.6","2015","10","98","61.3","72.4","50.2"
"US1GAFY0001","WOOLSEY 2.5 SSW, GA US","33.3269","-84.4236","236.5","2015",,,,,
"USW00093845","VALDOSTA REGIONAL AIRPORT, GA US","30.7825","-83.27667","60.4","2015","23","99","69.9","80.6","59.3"
"US1GADK0033","DECATUR 1.2 NE, GA US","33.7826","-84.2812","305.1","2015",,,,,
"US1GACE0001","ACWORTH 5.5 NE, GA US","34.1131","-84.6049","293.8","2015",,,,,
"USR0000GNEW","NEWNAN GEORGIA, GA US","33.3653","-84.8594","236.2","2015","9","99","63.8","74.9","52.7"
"USR0000GTAL","TALLULAH NUMBER 1 GEORGIA, GA US","34.9058","-83.3344","831.5","2015","3","91","59.5","67.4","51.6"
"USR0000GDAW","DAWSONVILLE GEORGIA, GA US","34.3761","-84.0597","369.7","2015","7","98","61.9","72.8","51.0"
"US1GAHB0007","DEMOREST 6.2 WNW, GA US","34.6114","-83.6398","410.0","2015",,,,,
"USR0000GMCR","MCRAE GEORGIA, GA US","32.0097","-82.9","76.2","2015","18","101","67.7","79.2","56.2"
"US1GAHB0005","HELEN 9.5 ENE, GA US","34.7742","-83.58","536.4","2015",,,,,
"US1GAFN0004","MORGANTON 5.8 E, GA US","34.8684","-84.1422","683.7","2015",,,,,
"USC00096219","NAHUNTA 6 NE, GA US","31.2738","-81.9197","20.7","2015","20","101","67.7","79.1","56.3"
"US1GAFN0001","BLUE RIDGE 9.4 WNW, GA US","34.9166","-84.4764","573.0","2015",,,,,
"US1GACL0015","VILLA RICA 2.6 NNW, GA US","33.7686","-84.938","356.3","2015",,,,,
"US1GALW0004","LAKE PARK 2.8 W, GA US","30.683","-83.236","49.1","2015",,,,,
"US1GAFN0007","MORGANTON 3.1 SSE, GA US","34.8344","-84.2185","588.6","2015",,,,,
"US1GAHT0002","HARTWELL 5.6 NW, GA US","34.4041","-83.0081","243.5","2015",,,,,
"USR0000GCOO","ADEL GEORGIA, GA US","31.1097","-83.4269","46.9","2015","22","100","69.6","79.8","59.4"
"USW00013837","AUGUSTA DANIEL FIELD AIRPORT, GA US","33.46694","-82.03861","128.9","2015","17","103","68.0","77.4","58.7"
"USR0000GCOH","COHUTTA NUMBER 1 GEORGIA, GA US","34.9225","-84.6594","525.5","2015","2","93","60.2","69.0","51.3"
"US1GAEF0013","MARLOW 0.0 S, GA US","32.2704","-81.3921","21.3","2015",,,,,
"USR0000GMCI","MILLEDGEVILLE GEORGIA, GA US","32.7797","-83.25","128.0","2015","15","103","66.0","77.5","54.6"
"USC00091266","BROOKLET 1 W, GA US","32.375","-81.6731","54.9","2015","19","99","66.7","76.9","56.5"
"USC00094429","HOMERVILLE 5 N, GA US","31.0767","-82.8003","57.0","2015","21","99","67.5","78.9","56.2"
"USR0000GDAL","DALLAS GEORGIA, GA US","33.8333","-84.74","276.5","2015","8","98","62.0","73.1","50.9"
"US1GATG0001","DANVILLE 3.3 W, GA US","32.6016","-83.3032","143.0","2015",,,,,
"US1GACW0016","NEWNAN 4.1 N, GA US","33.4377","-84.7781","287.4","2015",,,,,
"USC00095061","LEESBURG 2, GA US","31.7633","-84.1869","79.2","2015",,,,,
"US1GACE0022","ALPHARETTA 8.6 N, GA US","34.1929","-84.2707","356.0","2015",,,,,
"USW00063828","NEWTON 8 W, GA US","31.3127","-84.4706","53.6","2015","17","97","67.1","78.5","55.8"
"USW00063829","NEWTON 11 SW, GA US","31.1923","-84.4465","47.5","2015","18","97","67.9","78.4","57.4"
"US1GAJN0006","MACON 6.8 ENE, GA US","32.8766","-83.5492","154.2","2015",,,,,
"US1GATP0003","LA GRANGE 1.2 NNE, GA US","33.0572","-85.0273","225.2","2015",,,,,
"USC00095863","MIDVILLE EXPERIMENTAL STATION, GA US","32.8753","-82.2156","85.3","2015",,,,,
"US1GATP0001","LA GRANGE 10.6 ESE, GA US","32.9735","-84.8698","240.8","2015",,,,,
"US1GATP0002","LA GRANGE 6.4 SSE, GA US","32.9542","-84.9976","242.9","2015",,,,,
"USC00096838","PATTERSON, GA US","31.3781","-82.1292","32.0","2015",,,,,
"USC00097808","SAPELO ISLAND, GA US","31.39806","-81.28077","3.0","2015","22","100","69.9","78.3","61.4"
