OBJECTID,STAT_CAUSE_DESCR,STATE,Date_Discovery,Date_Contained,FIRE_YEAR,FIRE_SIZE,LATITUDE,LONGITUDE,Duration
1811723,Equipment Use,WA,7/2/2015,7/2/2015,2015,0.1,45.8231,-122.5979,0
1811728,Equipment Use,WA,6/27/2015,7/3/2015,2015,0.65,47.4922,-117.4899,6
1811743,Equipment Use,WA,6/29/2015,7/5/2015,2015,0.75,47.3821,-117.7225,6
1811805,Equipment Use,WA,7/16/2015,7/17/2015,2015,0.1,45.8318,-120.8951,1
1811827,Equipment Use,WA,7/20/2015,7/20/2015,2015,0.1,46.1629,-122.8979,0
1811828,Equipment Use,WA,7/18/2015,7/20/2015,2015,0.38,47.2003,-120.7154,2
1811875,Equipment Use,WA,7/18/2015,7/25/2015,2015,0.1,48.0014,-117.2738,7
1811935,Equipment Use,WA,7/31/2015,7/31/2015,2015,0.25,46.5188,-122.6335,0
1811964,Equipment Use,WA,8/1/2015,8/2/2015,2015,0.01,48.9293,-117.7745,1
1811982,Equipment Use,WA,8/3/2015,8/3/2015,2015,0.1,45.9582,-122.8015,0
1812010,Equipment Use,WA,8/1/2015,8/5/2015,2015,0.01,48.0282,-117.5486,4
1812024,Equipment Use,WA,8/1/2015,8/7/2015,2015,0.1,48.5474,-118.9778,6
1812076,Equipment Use,WA,7/30/2015,8/12/2015,2015,0.1,47.8962,-117.3529,13
1812091,Equipment Use,WA,8/9/2015,8/14/2015,2015,3.9,47.1924,-120.9448,5
1812125,Equipment Use,WA,8/7/2015,8/17/2015,2015,0.5,47.9493,-117.5943,10
1812158,Equipment Use,WA,8/15/2015,8/23/2015,2015,0.01,48.8359,-119.3812,8
1812166,Equipment Use,WA,7/23/2015,8/25/2015,2015,2.5,48.5312,-121.8921,33
1812186,Equipment Use,WA,8/14/2015,8/28/2015,2015,0.3,47.7512,-117.2077,14
1812189,Equipment Use,WA,8/14/2015,8/28/2015,2015,0.2,47.7461,-117.2356,14
1812192,Equipment Use,WA,8/14/2015,8/28/2015,2015,0.01,47.7545,-117.2543,14
1812205,Equipment Use,WA,8/21/2015,8/31/2015,2015,25,48.7774,-118.6507,10
1812239,Equipment Use,WA,8/1/2015,9/4/2015,2015,1.5,47.1864,-120.8883,34
1812258,Equipment Use,WA,8/7/2015,9/8/2015,2015,0.01,47.8533,-117.3549,32
1812327,Equipment Use,WA,9/16/2015,9/16/2015,2015,0.1,46.2568,-122.8827,0
1812333,Equipment Use,WA,9/3/2015,9/17/2015,2015,2.5,48.7597,-118.5889,14
1812347,Equipment Use,WA,8/24/2015,9/19/2015,2015,0.1,47.0672,-122.7381,26
1812382,Equipment Use,WA,9/22/2015,9/22/2015,2015,0.1,45.9175,-121.5015,0
1812439,Equipment Use,WA,9/20/2015,9/28/2015,2015,0.01,45.77,-121.2079,8
1812620,Equipment Use,WA,10/4/2015,10/16/2015,2015,0.1,47.8671,-117.4378,12
1812974,Equipment Use,WA,9/20/2015,12/3/2015,2015,0.01,48.2852,-117.2569,74
1812975,Equipment Use,WA,9/24/2015,12/3/2015,2015,0.01,48.2863,-117.2428,70
1812976,Equipment Use,WA,9/25/2015,12/3/2015,2015,0.1,47.5854,-117.6497,69
1814591,Smoking,WA,4/3/2015,4/13/2015,2015,0.5,48.0144,-117.3903,10
1814666,Smoking,WA,4/17/2015,4/20/2015,2015,7.5,46.1118,-117.1562,3
1815077,Smoking,WA,4/18/2015,5/28/2015,2015,0.25,46.775,-123.0862,40
1815139,Smoking,WA,6/12/2015,6/21/2015,2015,0.4,47.7538,-117.405,9
1815177,Smoking,WA,7/9/2015,7/9/2015,2015,0.01,47.5553,-123.0784,0
1815184,Smoking,WA,7/7/2015,7/13/2015,2015,0.4,47.621,-117.5073,6
1815194,Smoking,WA,7/9/2015,7/16/2015,2015,0.1,48.5485,-121.9613,7
1815195,Smoking,WA,7/11/2015,7/16/2015,2015,0.1,47.9527,-122.4004,5
1815198,Smoking,WA,6/29/2015,7/16/2015,2015,0.1,48.2764,-121.988,17
1815206,Smoking,WA,7/16/2015,7/18/2015,2015,0.1,48.6641,-122.2503,2
1815211,Smoking,WA,7/14/2015,7/21/2015,2015,1.5,48.0906,-122.1846,7
1815214,Smoking,WA,7/21/2015,7/22/2015,2015,0.2,47.773484,-121.48718,1
